course_id,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year_p,month_p,date_p,is_success
648826,True,195,24481,2347,174,All Levels,10.0,Business Finance,2016,1,21,1
1035472,True,195,3811,278,103,All Levels,6.5,Business Finance,2017,3,30,1
1154754,True,195,4991,137,79,Beginner Level,11.5,Business Finance,2017,3,29,1
627540,True,115,7489,1190,25,Intermediate Level,1.0,Business Finance,2015,10,22,1
301442,True,200,20195,1113,227,All Levels,16.0,Business Finance,2014,10,27,1
640100,True,150,10042,594,43,All Levels,3.0,Business Finance,2015,10,22,1
1247394,True,95,367,42,35,All Levels,5.0,Business Finance,2017,6,21,0
260470,True,200,10603,872,42,All Levels,5.5,Business Finance,2014,10,12,1
1214702,True,190,1197,11,46,All Levels,5.0,Business Finance,2017,5,24,0
848664,True,150,2893,65,62,All Levels,2.0,Business Finance,2016,8,10,1
1142570,True,200,1580,12,53,Expert Level,2.0,Business Finance,2017,5,2,1
325834,True,95,10605,71,77,All Levels,3.0,Business Finance,2014,10,24,1
411168,True,125,2996,200,23,Intermediate Level,2.0,Business Finance,2015,3,9,1
885974,True,30,6219,23,20,All Levels,1.0,Business Finance,2017,2,14,1
1151092,True,200,1113,11,17,All Levels,1.5,Business Finance,2017,4,2,0
358326,True,60,8314,83,47,Beginner Level,4.0,Business Finance,2015,1,24,1
153210,True,200,5572,123,33,Beginner Level,5.5,Business Finance,2014,3,27,1
834836,True,145,1433,169,15,Intermediate Level,1.0,Business Finance,2016,5,9,0
1171994,True,20,936,6,11,Intermediate Level,1.5,Business Finance,2017,4,11,0
1239068,True,200,658,2,19,All Levels,1.0,Business Finance,2017,6,2,0
985922,True,105,8121,689,40,All Levels,3.5,Business Finance,2016,10,18,1
765562,True,60,4187,600,79,Beginner Level,9.0,Business Finance,2016,2,29,1
165964,True,155,9445,497,38,All Levels,4.5,Business Finance,2014,2,19,1
855172,True,200,3255,340,102,All Levels,8.5,Business Finance,2016,6,20,1
258232,True,185,7941,713,40,All Levels,6.5,Business Finance,2014,8,11,1
994754,True,150,1680,158,76,All Levels,5.5,Business Finance,2016,11,26,1
43319,True,180,10100,985,45,Beginner Level,11.0,Business Finance,2013,2,25,1
408440,True,125,5050,461,26,All Levels,1.5,Business Finance,2015,2,10,1
918688,True,200,2310,162,26,All Levels,3.5,Business Finance,2016,10,5,1
308694,True,185,5528,506,32,All Levels,3.0,Business Finance,2015,2,19,1
199450,True,125,6451,237,28,All Levels,5.0,Business Finance,2014,4,16,1
401784,True,95,12394,218,30,Beginner Level,2.5,Business Finance,2015,2,20,1
1122792,True,200,1793,18,15,All Levels,1.0,Business Finance,2017,3,3,1
709500,True,20,3223,240,23,All Levels,1.0,Business Finance,2016,3,30,1
285638,True,60,16385,273,45,Beginner Level,3.0,Business Finance,2014,9,2,1
1135126,True,200,1487,16,18,All Levels,2.0,Business Finance,2017,3,8,0
834558,True,200,2951,232,60,All Levels,4.0,Business Finance,2016,5,4,1
551968,True,120,2697,331,15,All Levels,1.0,Business Finance,2015,8,13,1
1005658,True,150,3979,40,39,Beginner Level,5.0,Business Finance,2016,11,9,1
746432,True,25,3190,244,45,All Levels,4.0,Business Finance,2016,2,3,1
1057242,True,200,1406,71,54,Expert Level,1.5,Business Finance,2017,1,18,0
284118,True,160,4252,225,24,All Levels,2.0,Business Finance,2014,9,19,1
302562,True,20,11958,370,134,Beginner Level,11.5,Business Finance,2014,10,2,1
596598,True,95,7743,340,33,Beginner Level,1.5,Business Finance,2015,9,10,1
860890,True,50,2134,55,5,All Levels,1.0,Business Finance,2016,7,13,1
951050,True,200,1214,69,20,All Levels,1.5,Business Finance,2016,10,7,0
796450,True,20,3870,53,10,All Levels,1.0,Business Finance,2016,3,21,1
502772,True,200,2146,212,49,All Levels,4.5,Business Finance,2015,6,16,1
1102462,True,195,484,57,19,Beginner Level,1.0,Business Finance,2017,3,14,0
1062092,True,200,1057,15,14,All Levels,1.5,Business Finance,2017,1,11,0
891484,True,20,1754,100,49,Intermediate Level,2.5,Business Finance,2016,6,30,1
1217064,True,20,1239,5,6,Beginner Level,0.7,Business Finance,2017,5,23,0
382204,True,95,2493,276,108,All Levels,9.5,Business Finance,2015,1,31,1
308696,True,150,2602,402,57,Beginner Level,5.0,Business Finance,2015,10,28,1
474928,True,40,2000,30,9,All Levels,1.0,Business Finance,2015,4,13,1
1148774,False,0,1514,66,11,Beginner Level,0.55,Business Finance,2017,3,23,1
959144,True,20,1361,1,14,Intermediate Level,3.0,Business Finance,2016,10,4,0
1233350,True,100,61,18,30,Beginner Level,1.5,Business Finance,2017,6,9,0
572744,True,75,1513,31,60,All Levels,5.5,Business Finance,2015,8,4,1
724062,True,20,1374,19,9,Beginner Level,2.0,Business Finance,2016,1,14,0
474212,True,40,2103,15,6,All Levels,1.5,Business Finance,2015,4,12,1
771276,True,20,1480,25,25,Beginner Level,1.5,Business Finance,2016,3,21,0
388164,True,25,2516,12,20,All Levels,1.5,Business Finance,2015,1,8,1
133536,False,0,50855,2698,15,Beginner Level,1.5,Business Finance,2013,12,25,1
655300,True,50,1971,13,20,Beginner Level,1.5,Business Finance,2015,12,3,1
949504,True,200,837,9,19,All Levels,1.0,Business Finance,2016,10,3,0
265960,False,0,17160,620,23,All Levels,1.0,Business Finance,2014,8,29,1
680044,True,195,1723,38,24,Beginner Level,1.0,Business Finance,2015,12,14,1
923616,False,0,6811,151,51,All Levels,2.0,Business Finance,2016,8,5,1
741898,True,20,2060,17,30,All Levels,4.5,Business Finance,2016,1,28,1
381330,True,150,2318,19,16,All Levels,5.0,Business Finance,2014,12,31,1
545918,True,95,2153,14,13,Beginner Level,1.5,Business Finance,2015,7,27,1
191854,False,0,19339,794,9,Beginner Level,2.0,Business Finance,2014,3,31,1
471546,True,20,3177,8,8,All Levels,1.0,Business Finance,2015,4,16,1
866584,True,150,1535,16,462,All Levels,62.0,Business Finance,2016,6,3,1
889824,True,20,1027,29,25,All Levels,1.5,Business Finance,2016,7,18,0
1191504,True,25,307,8,5,All Levels,0.13,Business Finance,2017,5,1,0
585752,True,150,2096,48,29,All Levels,0.68,Business Finance,2015,8,24,1
671578,True,50,1315,48,59,Beginner Level,2.5,Business Finance,2015,11,18,0
151668,False,0,29167,1463,8,Intermediate Level,1.5,Business Finance,2014,5,27,1
1105344,True,50,1056,1,42,All Levels,3.0,Business Finance,2017,2,9,0
44836,True,180,2212,194,24,Expert Level,4.5,Business Finance,2013,3,5,1
840300,True,50,2946,6,284,All Levels,31.5,Business Finance,2016,5,5,1
1100054,True,100,271,48,47,All Levels,3.5,Business Finance,2017,2,20,0
421054,True,25,3771,10,35,All Levels,2.5,Business Finance,2015,2,13,1
528784,True,200,3143,11,39,Intermediate Level,3.0,Business Finance,2015,11,10,1
637430,True,20,1951,30,20,Intermediate Level,0.55,Business Finance,2015,10,13,1
236080,True,90,4022,35,14,Expert Level,1.0,Business Finance,2016,12,15,1
777444,False,0,11724,649,17,Beginner Level,1.5,Business Finance,2016,3,4,1
474238,True,20,2283,54,16,Intermediate Level,2.0,Business Finance,2015,4,20,1
1245244,True,35,1181,1,18,Beginner Level,1.0,Business Finance,2017,6,29,0
1051570,True,50,1852,3,14,All Levels,2.5,Business Finance,2016,12,28,1
262370,True,100,4661,187,20,All Levels,1.0,Business Finance,2014,9,1,1
1188178,True,50,989,9,11,All Levels,1.0,Business Finance,2017,4,24,0
824592,True,20,5841,16,28,All Levels,1.5,Business Finance,2016,6,14,1
1147458,True,200,1087,14,61,All Levels,9.5,Business Finance,2017,3,23,0
1243448,True,200,611,4,26,Beginner Level,1.0,Business Finance,2017,6,7,0
730414,True,60,1922,149,15,All Levels,20.0,Business Finance,2016,1,21,1
252396,True,150,9015,65,23,All Levels,2.5,Business Finance,2014,7,1,1
1198166,True,20,661,4,12,All Levels,1.0,Business Finance,2017,5,2,0
920604,True,105,1077,110,55,Beginner Level,6.0,Business Finance,2016,8,19,0
215728,True,20,6050,140,17,Beginner Level,1.5,Business Finance,2014,5,18,1
722174,True,150,3523,46,45,All Levels,4.0,Business Finance,2016,1,10,1
48841,False,0,56659,4397,16,Beginner Level,1.5,Business Finance,2013,4,7,1
907444,True,100,1444,101,59,Beginner Level,5.0,Business Finance,2016,7,25,0
317030,True,60,2900,424,36,Intermediate Level,2.5,Business Finance,2014,10,19,1
891490,True,200,1437,96,34,Beginner Level,2.5,Business Finance,2016,8,8,0
1070886,True,200,453,42,33,Intermediate Level,3.0,Business Finance,2017,3,14,0
812616,True,20,2437,12,23,All Levels,1.5,Business Finance,2016,11,16,1
407984,True,30,5057,142,13,Beginner Level,1.0,Business Finance,2015,2,6,1
214046,True,95,6092,25,29,Beginner Level,1.5,Business Finance,2016,11,3,1
512400,True,95,4530,13,31,All Levels,1.5,Business Finance,2015,8,6,1
377370,True,60,6967,16,34,All Levels,1.0,Business Finance,2017,5,2,1
1175694,True,20,727,11,25,Beginner Level,3.0,Business Finance,2017,4,26,0
945750,True,20,1560,43,25,All Levels,3.0,Business Finance,2016,8,31,1
1085580,True,200,1047,9,46,All Levels,3.5,Business Finance,2017,1,26,0
1188410,True,125,1045,2,17,Intermediate Level,1.0,Business Finance,2017,4,24,0
402836,True,200,3050,86,22,Beginner Level,2.0,Business Finance,2015,1,27,1
588764,True,200,2988,21,43,All Levels,4.5,Business Finance,2015,9,29,1
576946,True,35,2623,158,20,Beginner Level,1.0,Business Finance,2015,8,21,1
543242,True,200,1924,351,544,All Levels,46.5,Business Finance,2015,7,16,1
502240,True,200,3804,267,66,All Levels,5.0,Business Finance,2015,6,19,1
598266,True,120,4133,15,36,Beginner Level,4.0,Business Finance,2015,10,8,1
814068,True,195,1420,70,29,All Levels,2.5,Business Finance,2016,4,28,0
1076920,True,125,1120,6,43,Beginner Level,3.0,Business Finance,2017,1,23,0
1103272,True,200,668,12,22,All Levels,1.0,Business Finance,2017,2,7,0
441112,True,25,4086,31,14,All Levels,1.5,Business Finance,2015,3,8,1
1022108,True,200,1033,10,29,All Levels,2.0,Business Finance,2017,1,11,0
1028030,True,20,832,34,34,All Levels,1.5,Business Finance,2016,12,7,0
1018380,True,195,677,45,40,All Levels,4.5,Business Finance,2016,12,18,0
575676,True,20,3125,54,13,Beginner Level,2.0,Business Finance,2015,8,9,1
1105216,True,50,1081,6,21,All Levels,1.5,Business Finance,2017,2,10,0
936328,True,200,1645,25,42,All Levels,2.0,Business Finance,2016,9,7,1
43441,True,120,3348,352,13,All Levels,3.0,Business Finance,2013,2,25,1
1103718,True,200,939,7,19,All Levels,1.5,Business Finance,2017,2,10,0
584410,True,200,2115,59,88,All Levels,5.5,Business Finance,2015,11,13,1
625568,True,45,2230,102,10,All Levels,1.5,Business Finance,2015,10,9,1
297742,True,50,2053,234,44,All Levels,5.5,Business Finance,2014,10,1,1
24877,True,80,1793,265,54,Beginner Level,10.0,Business Finance,2012,10,3,1
1188742,False,0,3775,138,11,Beginner Level,2.0,Business Finance,2017,5,1,1
597716,True,200,521,67,24,All Levels,3.0,Business Finance,2016,2,24,0
415802,True,20,2222,9,12,All Levels,0.7,Business Finance,2015,2,7,1
323950,True,50,1097,252,10,Intermediate Level,1.0,Business Finance,2014,11,8,0
488818,True,200,2506,21,76,Beginner Level,6.0,Business Finance,2015,5,11,1
610890,True,120,975,23,23,Intermediate Level,1.0,Business Finance,2015,9,30,0
638980,True,145,1398,15,26,All Levels,1.5,Business Finance,2015,10,19,0
599684,True,195,1096,24,24,All Levels,1.5,Business Finance,2015,10,29,0
332848,True,200,1703,59,25,All Levels,2.0,Business Finance,2014,11,4,1
354324,True,45,1446,23,27,Beginner Level,5.0,Business Finance,2014,12,9,0
379682,True,20,2736,3,8,All Levels,1.5,Business Finance,2014,12,29,1
319020,True,200,2000,31,34,All Levels,4.5,Business Finance,2014,12,11,1
713258,True,75,853,45,48,Beginner Level,4.5,Business Finance,2016,11,6,0
537884,True,20,3094,2,22,All Levels,3.5,Business Finance,2015,7,17,1
919906,False,0,4077,281,20,Beginner Level,1.5,Business Finance,2016,8,18,1
46010,True,20,4117,54,5,Intermediate Level,1.0,Business Finance,2013,4,4,1
777932,True,20,1369,17,31,All Levels,1.5,Business Finance,2016,3,6,0
773934,True,150,1224,42,14,All Levels,0.55,Business Finance,2016,3,23,0
221306,True,20,3870,12,90,All Levels,9.0,Business Finance,2014,5,20,1
830994,True,200,897,22,21,All Levels,2.0,Business Finance,2016,5,24,0
723510,True,45,1311,36,5,All Levels,1.0,Business Finance,2016,1,15,0
42643,True,60,1338,139,7,Expert Level,1.0,Business Finance,2013,3,2,0
411778,True,20,1589,26,42,Intermediate Level,1.5,Business Finance,2015,3,3,1
366514,True,20,1189,12,15,All Levels,1.5,Business Finance,2015,2,19,0
471588,True,50,701,12,37,All Levels,5.5,Business Finance,2015,6,19,0
390096,True,50,1105,3,54,Intermediate Level,6.0,Business Finance,2015,2,11,0
607876,True,50,123,16,35,All Levels,2.0,Business Finance,2015,9,22,0
249950,False,0,5874,207,9,Intermediate Level,2.0,Business Finance,2014,6,26,1
792216,True,50,354,32,49,All Levels,7.0,Business Finance,2016,3,18,0
45139,True,60,727,64,9,All Levels,1.0,Business Finance,2013,3,8,0
692176,False,0,3465,161,24,Beginner Level,2.0,Business Finance,2016,2,23,1
1224262,True,60,54,4,6,Expert Level,0.72,Business Finance,2017,5,24,0
598094,True,40,627,15,15,All Levels,1.5,Business Finance,2015,9,23,0
40039,True,45,650,107,97,All Levels,10.0,Business Finance,2013,2,7,0
1266148,False,0,965,0,18,Intermediate Level,1.5,Business Finance,2017,6,28,0
791422,True,200,1113,6,8,All Levels,1.0,Business Finance,2017,2,3,0
352150,True,95,739,28,45,All Levels,2.0,Business Finance,2014,12,23,0
791436,True,20,1201,12,18,All Levels,1.5,Business Finance,2017,5,11,0
537878,True,50,2474,6,128,All Levels,17.5,Business Finance,2015,7,7,1
923184,True,200,494,16,19,All Levels,1.0,Business Finance,2016,8,10,0
476256,True,95,1580,26,14,Intermediate Level,1.0,Business Finance,2015,9,7,1
552504,True,40,617,44,55,All Levels,4.5,Business Finance,2015,8,16,0
537888,True,20,2235,3,9,All Levels,1.0,Business Finance,2015,9,29,1
385686,True,20,2293,9,28,All Levels,2.0,Business Finance,2015,1,6,1
738900,True,200,1094,8,13,Beginner Level,2.0,Business Finance,2016,3,30,0
57415,True,20,1449,29,23,Beginner Level,1.5,Business Finance,2013,6,6,0
155344,True,20,3251,10,59,Beginner Level,12.0,Business Finance,2014,1,31,1
42491,True,60,607,55,16,Intermediate Level,2.0,Business Finance,2013,3,5,0
511952,True,75,1218,30,63,All Levels,3.5,Business Finance,2015,6,11,0
530246,True,20,1132,33,18,All Levels,1.0,Business Finance,2015,7,20,0
862786,True,20,656,17,20,All Levels,1.5,Business Finance,2016,5,30,0
165122,True,20,3339,4,11,Beginner Level,1.5,Business Finance,2014,2,17,1
530768,True,200,1271,23,7,Expert Level,1.5,Business Finance,2015,9,22,0
218416,True,20,1574,24,46,All Levels,2.0,Business Finance,2015,2,21,1
619296,True,20,1393,27,21,Beginner Level,2.0,Business Finance,2015,9,29,0
717278,True,20,1029,13,7,All Levels,0.68,Business Finance,2016,5,4,0
445916,True,30,843,54,34,All Levels,3.0,Business Finance,2015,3,19,0
267984,True,95,1730,12,12,All Levels,1.5,Business Finance,2014,7,24,1
180362,True,50,1182,110,22,All Levels,4.0,Business Finance,2014,3,12,0
364810,True,65,1160,117,24,Intermediate Level,2.5,Business Finance,2014,12,10,0
692722,True,95,1730,18,53,All Levels,2.0,Business Finance,2016,1,27,1
298558,True,50,1260,80,38,Intermediate Level,4.0,Business Finance,2014,10,1,0
480752,True,95,871,79,59,All Levels,2.0,Business Finance,2015,6,16,0
637922,True,50,1566,48,25,All Levels,2.5,Business Finance,2015,10,14,1
337320,True,105,2987,23,19,All Levels,2.0,Business Finance,2014,12,22,1
876646,True,120,973,15,28,All Levels,2.5,Business Finance,2016,6,21,0
529424,True,40,2177,31,38,Beginner Level,5.0,Business Finance,2015,7,7,1
720814,True,35,1772,19,15,Beginner Level,3.5,Business Finance,2016,1,8,1
515326,True,20,1850,40,20,All Levels,1.0,Business Finance,2015,6,1,1
1218552,False,0,1780,32,9,Beginner Level,1.0,Business Finance,2017,5,18,1
851106,False,0,4607,181,11,Beginner Level,0.53,Business Finance,2016,5,17,1
429308,True,50,12,1,38,Intermediate Level,4.0,Business Finance,2015,3,2,0
302450,True,20,13,1,9,All Levels,1.0,Business Finance,2015,3,8,0
1117834,True,200,2,1,16,All Levels,1.0,Business Finance,2017,4,6,0
190816,False,0,2571,32,23,All Levels,4.5,Business Finance,2014,3,29,1
244000,True,125,8,1,19,Intermediate Level,2.5,Business Finance,2014,6,16,0
429482,True,35,7,1,19,All Levels,1.0,Business Finance,2015,2,23,0
831940,True,20,217,0,47,Beginner Level,2.5,Business Finance,2017,2,6,0
833770,True,75,22,5,45,All Levels,4.5,Business Finance,2017,5,1,0
658764,True,50,131,2,38,All Levels,3.0,Business Finance,2015,11,3,0
707224,True,30,5,2,15,Beginner Level,2.0,Business Finance,2017,2,3,0
64739,True,50,116,10,51,All Levels,24.0,Business Finance,2013,7,23,0
907716,True,100,27,6,235,All Levels,19.5,Business Finance,2016,9,6,0
1030976,True,150,912,12,37,Beginner Level,3.0,Business Finance,2017,1,11,0
722682,True,20,1964,47,15,All Levels,1.5,Business Finance,2016,1,12,1
1122146,True,200,1033,2,31,Beginner Level,1.5,Business Finance,2017,2,22,0
808506,True,95,913,117,48,Expert Level,2.0,Business Finance,2016,5,18,0
673016,True,200,2092,77,52,All Levels,3.5,Business Finance,2015,11,23,1
358062,True,95,2240,185,44,All Levels,2.5,Business Finance,2014,12,3,1
372234,True,30,4601,38,14,Intermediate Level,4.0,Business Finance,2015,4,2,1
822514,True,25,2953,20,211,All Levels,20.5,Business Finance,2016,4,15,1
1045726,True,125,1091,4,29,Beginner Level,3.0,Business Finance,2016,12,20,0
943426,True,35,1459,11,26,Beginner Level,1.0,Business Finance,2016,10,17,0
46927,True,30,4855,64,24,Beginner Level,4.0,Business Finance,2013,3,22,1
567070,True,50,4034,8,40,Intermediate Level,3.0,Business Finance,2015,9,16,1
867440,True,200,57,22,19,Intermediate Level,3.0,Business Finance,2016,6,6,0
501996,True,35,26,9,42,All Levels,2.0,Business Finance,2015,5,28,0
1103590,True,25,14,4,15,All Levels,2.5,Business Finance,2017,2,7,0
1172370,True,50,49,3,23,Beginner Level,3.0,Business Finance,2017,5,10,0
673702,True,20,11,2,10,Intermediate Level,0.5,Business Finance,2015,11,19,0
821108,True,20,9,3,17,Beginner Level,0.72,Business Finance,2016,4,23,0
863998,True,20,91,7,30,All Levels,2.0,Business Finance,2016,6,21,0
822926,True,20,44,6,55,All Levels,10.0,Business Finance,2016,8,29,0
666254,True,125,106,11,100,All Levels,20.5,Business Finance,2015,11,28,0
421546,False,0,2079,258,25,All Levels,2.0,Business Finance,2015,2,15,1
518886,True,20,135,5,12,Beginner Level,1.5,Business Finance,2015,6,7,0
868128,True,20,31,11,20,All Levels,10.5,Business Finance,2016,6,29,0
986034,True,60,217,7,16,All Levels,1.0,Business Finance,2016,11,1,0
42642,True,60,611,57,13,All Levels,1.5,Business Finance,2013,2,24,0
471428,False,0,5007,41,19,All Levels,3.0,Business Finance,2015,4,13,1
600206,True,50,1168,5,26,Beginner Level,5.5,Business Finance,2015,9,5,0
283780,False,0,4653,395,5,All Levels,0.52,Business Finance,2014,9,14,1
52118,False,0,3035,12,14,All Levels,1.5,Business Finance,2016,6,20,1
42640,True,60,454,52,15,Expert Level,2.0,Business Finance,2013,2,24,0
767256,True,60,325,14,62,All Levels,5.0,Business Finance,2016,3,4,0
843854,True,115,228,49,43,All Levels,4.5,Business Finance,2016,5,11,0
247558,True,25,562,11,15,All Levels,1.0,Business Finance,2014,6,28,0
696616,True,120,577,45,82,Intermediate Level,6.5,Business Finance,2016,3,31,0
205810,False,0,10540,799,14,Beginner Level,1.5,Business Finance,2014,4,27,1
507486,True,150,912,27,81,All Levels,2.5,Business Finance,2015,7,16,0
965306,False,0,2955,43,30,Intermediate Level,2.0,Business Finance,2016,10,5,1
1128662,True,50,190,13,45,Expert Level,6.0,Business Finance,2017,3,6,0
1068986,False,0,1736,36,11,All Levels,0.6,Business Finance,2017,1,23,1
627706,True,35,1135,10,16,Beginner Level,1.5,Business Finance,2015,11,24,0
255280,True,20,2101,51,11,All Levels,2.0,Business Finance,2014,8,18,1
628944,True,200,1048,11,16,All Levels,1.5,Business Finance,2015,11,6,0
537886,True,20,1740,5,8,All Levels,1.0,Business Finance,2015,7,21,1
517938,True,20,1749,41,21,All Levels,1.0,Business Finance,2015,6,23,1
779678,True,80,1187,6,6,All Levels,0.7,Business Finance,2016,3,3,0
494330,True,70,1263,21,18,Beginner Level,1.5,Business Finance,2015,7,14,0
153926,True,50,115,6,31,Beginner Level,4.0,Business Finance,2014,3,16,0
806122,True,20,43,17,39,Beginner Level,3.0,Business Finance,2016,9,25,0
725658,True,75,55,2,27,All Levels,5.5,Business Finance,2016,1,13,0
1032234,True,90,18,7,97,All Levels,7.0,Business Finance,2016,12,16,0
996542,True,40,14,5,11,All Levels,1.0,Business Finance,2016,10,29,0
756520,True,30,47,9,22,Beginner Level,2.0,Business Finance,2016,2,11,0
768028,True,200,134,14,123,All Levels,5.5,Business Finance,2016,3,15,0
73030,True,20,153,8,14,All Levels,1.5,Business Finance,2013,8,5,0
476880,True,75,47,5,27,All Levels,2.5,Business Finance,2015,6,1,0
773060,True,25,42,14,11,All Levels,0.68,Business Finance,2016,2,29,0
552058,True,20,120,18,21,All Levels,2.0,Business Finance,2015,7,21,0
509512,True,20,68,10,23,Beginner Level,0.5,Business Finance,2015,5,25,0
497236,True,50,844,33,40,All Levels,2.0,Business Finance,2015,7,12,0
471556,True,20,2045,3,10,All Levels,2.0,Business Finance,2015,4,12,1
403602,True,20,1168,38,11,All Levels,0.68,Business Finance,2015,1,25,0
326948,True,25,2342,9,33,Intermediate Level,3.5,Business Finance,2014,10,25,1
537896,True,20,2268,4,47,All Levels,5.5,Business Finance,2015,7,7,1
797762,True,50,967,16,43,All Levels,8.0,Business Finance,2016,3,20,0
674350,True,200,1185,10,33,Beginner Level,2.5,Business Finance,2016,2,2,0
439362,True,200,631,49,21,All Levels,2.0,Business Finance,2015,4,17,0
42634,True,60,968,81,10,Intermediate Level,2.0,Business Finance,2013,2,27,0
494800,True,180,1132,70,332,All Levels,29.0,Business Finance,2015,5,6,0
1222836,True,50,114,1,22,Beginner Level,4.0,Business Finance,2017,5,25,0
990440,True,200,204,23,9,Intermediate Level,1.5,Business Finance,2016,10,29,0
109988,True,30,1548,24,34,All Levels,3.0,Business Finance,2013,12,19,1
815482,True,50,409,35,46,All Levels,8.0,Business Finance,2016,4,12,0
569436,True,40,1169,7,15,Beginner Level,3.0,Business Finance,2015,8,20,0
803664,True,50,249,14,39,Beginner Level,2.5,Business Finance,2016,6,14,0
213154,True,20,690,17,21,Beginner Level,1.0,Business Finance,2014,5,8,0
484132,True,150,1340,4,272,All Levels,26.0,Business Finance,2015,7,19,0
640062,True,95,274,41,18,All Levels,1.5,Business Finance,2015,10,26,0
363404,False,0,4863,202,6,Beginner Level,1.5,Business Finance,2015,2,7,1
454724,True,20,1923,4,31,All Levels,2.5,Business Finance,2015,3,24,1
702278,True,200,224,35,16,All Levels,1.5,Business Finance,2016,4,25,0
323196,True,20,721,12,29,Beginner Level,3.0,Business Finance,2014,10,28,0
1225686,True,60,51,2,6,Expert Level,0.7,Business Finance,2017,5,23,0
443584,True,195,1276,46,61,All Levels,6.0,Business Finance,2015,4,6,0
1034074,False,0,2768,83,10,All Levels,1.0,Business Finance,2016,12,20,1
1209694,False,0,1735,31,19,All Levels,2.5,Business Finance,2017,5,28,1
418732,False,0,8985,584,12,All Levels,1.0,Business Finance,2015,3,6,1
757450,True,45,1119,22,18,All Levels,1.0,Business Finance,2016,2,10,0
403468,True,100,2591,44,69,All Levels,10.0,Business Finance,2015,1,26,1
761808,True,20,1046,17,12,All Levels,1.0,Business Finance,2016,2,21,0
614510,True,20,2239,4,7,All Levels,1.0,Business Finance,2015,9,20,1
519776,True,200,1882,51,129,All Levels,11.0,Business Finance,2015,7,20,1
805336,False,0,5931,158,15,Beginner Level,3.5,Business Finance,2016,5,4,1
828254,False,0,4931,154,7,Beginner Level,0.53,Business Finance,2016,5,31,1
471440,True,180,3056,9,316,All Levels,24.5,Business Finance,2015,4,10,1
